activity_represpipent,feature_selection,counting,dimensions,k,time_clust,time_total,group,elem_qtt,silhouette_mean,silhouette_std,duration_mean,duration_std
individual,specialist,tfidf,47,3,0.40151476860046387,34.27191472053528,1,107020,0.04441203048580981,0.03687380196555932,1606988.6557652776,2548232.968300819
individual,specialist,tfidf,47,3,0.40151476860046387,34.27191472053528,2,16003,0.7591800171722276,0.1326902918122331,1087239.8662750735,2008629.6803456235
individual,specialist,tfidf,47,5,1.481250286102295,35.27629828453064,0,88156,0.060709172507233344,0.05858861573788098,1543794.845047416,2488686.985983333
individual,specialist,tfidf,47,5,1.481250286102295,35.27629828453064,1,15781,0.761963868726853,0.13577976512977583,1069757.7175083961,1988939.3969183243
individual,specialist,tfidf,47,5,1.481250286102295,35.27629828453064,2,13724,0.7108940847951646,0.15682739089046954,1889148.4275721365,2813158.41292623
individual,specialist,tfidf,47,5,1.481250286102295,35.27629828453064,3,16185,0.7641425193515917,0.12254289537248898,1205637.4124189063,1526686.793189855
individual,specialist,tfidf,47,5,1.481250286102295,35.27629828453064,4,7830,0.7636310311030486,0.13494611906971954,1331280.1762452107,1542433.3714828365
individual,specialist,tfidf,47,10,1.6457812786102295,39.000513315200806,0,7395,0.8015634108459658,0.11738807051153373,951854.7342799188,786438.4277554689
individual,specialist,tfidf,47,10,1.6457812786102295,39.000513315200806,1,15785,0.7612291907126411,0.13785657533335063,1069697.929680076,1988688.8647819513
individual,specialist,tfidf,47,10,1.6457812786102295,39.000513315200806,2,13614,0.7152855990654263,0.15432767312287957,1870971.2163948875,2795491.938719716
individual,specialist,tfidf,47,10,1.6457812786102295,39.000513315200806,3,18613,0.7896254287608534,0.10010778585207462,1042227.9901144361,829160.4875213291
individual,specialist,tfidf,47,10,1.6457812786102295,39.000513315200806,4,7429,0.8302664559629702,0.0970900557323559,1376769.1506259255,1688151.6284551201
individual,specialist,tfidf,47,10,1.6457812786102295,39.000513315200806,5,16033,0.7669938627056566,0.12594809678309332,1205556.6069980664,1533237.1138606463
individual,specialist,tfidf,47,10,1.6457812786102295,39.000513315200806,6,49474,0.056281262369153484,0.04616609079736078,1940801.9141367183,3158053.8591362857
individual,specialist,tfidf,47,10,1.6457812786102295,39.000513315200806,7,5650,0.8089236175977611,0.12398272662250283,881813.0867256637,733047.1094728676
individual,specialist,tfidf,47,10,1.6457812786102295,39.000513315200806,8,2441,0.8798946925630149,0.11981133829429916,869708.0868496518,674241.3962637741
individual,specialist,tfidf,47,10,1.6457812786102295,39.000513315200806,9,5242,0.8541385207071149,0.10603031068725653,1404956.4173979398,1535873.0532758997
