,group
4596,0
4599,0
4600,0
4603,0
4610,0
4611,0
4614,0
4620,0
4621,0
4622,0
4628,0
4630,0
4652,0
4660,0
4662,0
4663,0
4671,0
4678,0
4681,0
4691,0
4695,0
4704,0
4705,0
4706,0
4711,0
4712,0
4717,0
4725,0
4728,0
4734,0
4736,0
4737,0
4738,0
4742,0
4743,0
4752,0
4758,0
4762,0
4769,0
4772,0
4774,0
4777,0
4778,0
4780,0
4781,0
4782,0
4783,0
4804,0
4808,0
4810,0
4813,0
4825,0
4828,0
4835,0
4837,0
4846,0
4851,0
4858,0
4860,0
4864,0
4867,0
4869,0
4870,0
4871,0
4872,0
4874,0
4878,0
4880,0
4884,0
4885,0
4886,0
4888,0
4891,0
4897,0
4899,0
4905,0
4911,0
4917,0
4920,0
4925,0
4932,0
4945,0
4950,0
4955,0
4963,0
4974,0
4975,0
4985,0
4986,0
4987,0
4990,0
4991,0
4994,0
5012,0
5019,0
5022,0
5033,0
5038,0
5041,0
5042,0
5057,0
5065,0
5084,0
5085,0
5086,0
5091,0
5092,0
5096,0
5108,0
5111,0
5112,0
5120,0
5123,0
5124,0
5130,0
5131,0
5132,0
5142,0
5143,0
5148,0
5150,0
5152,0
5163,0
5165,0
5167,0
5168,0
5169,0
5176,0
5181,0
5183,0
5184,0
5188,0
5191,0
5196,0
5204,0
5209,0
5218,0
5224,0
5227,0
5230,0
5233,0
5234,0
5237,0
5243,0
5246,0
5249,0
5250,0
5261,0
5264,0
5276,0
5280,0
5282,0
5283,0
5284,0
5285,0
5290,0
5293,0
5299,0
5306,0
5314,0
5316,0
5318,0
5319,0
5322,0
5326,0
5327,0
5331,0
5337,0
5346,0
5347,0
5348,0
5354,0
5362,0
5377,0
5385,0
5392,0
5403,0
5409,0
5441,0
5448,0
5454,0
5456,0
5457,0
5460,0
5461,0
5463,0
5464,0
5466,0
5469,0
5471,0
5473,0
5476,0
5478,0
5479,0
5485,0
5486,0
5487,0
5490,0
5491,0
5493,0
5497,0
5498,0
5499,0
5500,0
5501,0
5503,0
5504,0
5510,0
5512,0
5515,0
5516,0
5521,0
5522,0
5533,0
5535,0
5542,0
5544,0
5546,0
5548,0
5549,0
5550,0
5551,0
5554,0
5561,0
5564,0
5565,0
5566,0
5567,0
5569,0
5574,0
5577,0
5578,0
5580,0
5582,0
5584,0
5585,0
5586,0
5588,0
5589,0
5594,0
5597,0
5598,0
5599,0
5606,0
5607,0
5610,0
5615,0
5619,0
5629,0
5631,0
5632,0
5636,0
5638,0
5642,0
5643,0
5645,0
5648,0
5654,0
5656,0
5668,0
5674,0
5684,0
5685,0
5689,0
5691,0
5708,0
5712,0
5716,0
5721,0
5724,0
5726,0
5728,0
5739,0
5740,0
5743,0
5748,0
5751,0
5761,0
5763,0
5768,0
5775,0
5796,0
5798,0
5811,0
5814,0
5816,0
5817,0
5818,0
5819,0
5820,0
5822,0
5823,0
5837,0
5841,0
5843,0
5844,0
5848,0
5849,0
5858,0
5862,0
5863,0
5864,0
5865,0
5870,0
5871,0
5872,0
5874,0
5875,0
5878,0
5880,0
5881,0
5886,0
5890,0
5915,0
5917,0
5919,0
5920,0
5921,0
5923,0
5928,0
5932,0
5935,0
5937,0
5938,0
5943,0
5950,0
5955,0
5956,0
5963,0
5965,0
5966,0
5978,0
5981,0
5983,0
5987,0
5989,0
5991,0
6001,0
6005,0
6012,0
6017,0
6020,0
6026,0
6029,0
6032,0
6033,0
6034,0
6036,0
6038,0
6039,0
6040,0
6042,0
6045,0
6048,0
6053,0
6054,0
6072,0
6074,0
6076,0
6079,0
6081,0
6082,0
6086,0
6091,0
6096,0
6097,0
6104,0
6105,0
6106,0
6111,0
6114,0
6119,0
6125,0
6126,0
6128,0
6129,0
6130,0
6131,0
6134,0
6135,0
6141,0
6147,0
6148,0
6154,0
6157,0
6161,0
6164,0
6165,0
6166,0
6170,0
6180,0
6187,0
6193,0
6195,0
6201,0
6204,0
6207,0
6209,0
6210,0
6213,0
6214,0
6215,0
6218,0
6219,0
6220,0
6221,0
6222,0
6224,0
6225,0
6227,0
6229,0
6230,0
6231,0
6234,0
6237,0
6242,0
6244,0
6249,0
6253,0
6267,0
6270,0
6272,0
6276,0
6277,0
6282,0
6284,0
6285,0
6291,0
6297,0
6299,0
6302,0
6304,0
6305,0
6317,0
6327,0
6328,0
6329,0
6330,0
6332,0
6342,0
6346,0
6347,0
6351,0
6352,0
6353,0
6354,0
6355,0
6357,0
6359,0
6361,0
6367,0
6372,0
6377,0
6378,0
6382,0
6384,0
6388,0
6390,0
6394,0
6396,0
6398,0
6399,0
6402,0
6408,0
6409,0
6410,0
6411,0
6416,0
6417,0
6421,0
6425,0
6428,0
6434,0
6436,0
6438,0
6440,0
6443,0
6444,0
6445,0
6446,0
6451,0
6457,0
6458,0
6460,0
6462,0
6463,0
6464,0
6469,0
6470,0
6471,0
6474,0
6476,0
6477,0
6478,0
6481,0
6484,0
6487,0
6490,0
6492,0
6496,0
6504,0
6505,0
6506,0
6508,0
6510,0
6512,0
6513,0
6515,0
6518,0
6519,0
6522,0
6523,0
6531,0
6536,0
6537,0
6540,0
6541,0
6544,0
6545,0
6549,0
6550,0
6554,0
6557,0
6560,0
6562,0
6563,0
6564,0
6568,0
6569,0
6570,0
6571,0
6572,0
6574,0
6577,0
6578,0
6579,0
6580,0
6582,0
6585,0
6592,0
6595,0
6597,0
6600,0
6602,0
6608,0
6609,0
6612,0
6619,0
6620,0
6621,0
6622,0
6623,0
6625,0
6626,0
6627,0
6630,0
6631,0
6633,0
6634,0
6635,0
6636,0
6638,0
6639,0
6640,0
6641,0
6643,0
6650,0
6651,0
6652,0
6653,0
6657,0
6665,0
6671,0
6685,0
6688,0
6693,0
6695,0
6696,0
6697,0
6698,0
6700,0
6701,0
6702,0
6704,0
6708,0
6709,0
6715,0
6716,0
6717,0
6726,0
6732,0
6735,0
6737,0
6741,0
6743,0
6744,0
6746,0
6749,0
6751,0
6757,0
6758,0
6761,0
6762,0
6763,0
6776,0
6778,0
6781,0
6787,0
6788,0
6792,0
6796,0
6804,0
6806,0
6810,0
6812,0
6813,0
6817,0
6819,0
6823,0
6828,0
6830,0
6836,0
6837,0
6843,0
6845,0
6846,0
6847,0
6848,0
6853,0
6855,0
6856,0
6857,0
6858,0
6861,0
6862,0
6864,0
6868,0
6869,0
6871,0
6873,0
6875,0
6876,0
6879,0
6880,0
6883,0
6884,0
6885,0
6886,0
6892,0
6893,0
6896,0
6900,0
6901,0
6903,0
6906,0
6912,0
6914,0
6915,0
6916,0
6917,0
6919,0
6927,0
6928,0
6929,0
6930,0
6932,0
6937,0
6940,0
6944,0
6950,0
6952,0
6954,0
6957,0
6961,0
6965,0
6969,0
6972,0
6973,0
6974,0
6977,0
6984,0
6985,0
6987,0
6988,0
6989,0
6999,0
7002,0
7004,0
7005,0
7007,0
7008,0
7018,0
7025,0
7027,0
7029,0
7033,0
